number_of_vehicles,number_of_casualties,hour,day_of_week,month,is_weekend,season,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow,hour_peak,precipitation_peak_interaction,low_visibility_proxy,actual_class_index,predicted_class_index,actual_class_label,predicted_class_label
3,2,18,4,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,2,12,6,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,1,17,3,7,0,2,1.0,12.1,337.0,29.7,21.3,13.0,0.0,101840.0,0,1,0.0,0,2,0,Fatal,Slight
2,1,17,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
1,1,23,5,6,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,20,1,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
5,1,23,3,4,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,13,3,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,1,10,4,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,1,3,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,1,4,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,2,12,0,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
3,9,14,4,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,20,2,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
4,5,16,0,12,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,18,2,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,1,2,6,0,2,0.0,15.7,388.0,32.6,24.6,16.7,0.0,102020.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,17,4,1,0,0,4.0,0.4,34.0,9.6,8.5,7.4,1.0,101170.0,0,1,1.0,0,1,0,Serious,Slight
1,1,18,0,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
2,1,16,0,10,0,3,6.0,0.9,54.0,18.6,13.8,9.1,3.4,99390.0,0,1,3.4,0,2,1,Fatal,Serious
1,2,9,0,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,12,6,11,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,2,0,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,17,3,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,18,2,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
2,1,23,0,8,0,2,7.0,2.5,134.0,18.5,13.3,8.1,0.0,102190.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,15,4,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,17,4,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,2,11,3,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,2,23,5,12,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,7,3,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
1,1,14,1,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,2,14,5,11,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,2,22,4,10,0,3,8.0,2.1,94.0,13.2,11.5,9.9,30.0,98840.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,13,0,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,7,3,12,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
1,1,15,3,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,22,4,8,0,2,7.0,1.2,105.0,20.4,16.7,13.0,6.0,100100.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,22,0,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,14,6,3,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,11,5,3,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,16,2,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,17,5,12,1,0,1.0,0.1,28.0,9.9,8.4,7.0,0.0,99720.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,7,5,4,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,13,5,9,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,1,5,1,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,21,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,3,16,0,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
3,1,21,5,1,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,14,6,3,1,1,2.0,10.8,229.0,11.4,7.4,3.4,0.0,102630.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,18,4,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,16,3,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,17,3,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,2,8,2,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
3,2,16,1,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,20,5,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,4,17,4,4,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,6,3,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,21,4,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,1,15,4,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,8,2,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,10,6,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,7,1,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
3,5,18,5,5,1,1,0.0,15.7,397.0,25.7,17.8,10.0,0.0,102330.0,0,1,0.0,0,2,1,Fatal,Serious
1,2,17,0,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
4,2,2,4,4,0,1,6.0,2.8,138.0,14.2,10.5,6.9,0.0,101730.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,16,2,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,2,15,3,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,10,6,6,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
1,1,17,0,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,2,20,2,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,13,0,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,14,5,11,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,15,4,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,0,0,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,2,21,4,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,15,0,10,0,3,7.0,6.1,111.0,13.6,9.9,6.2,4.0,102070.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,16,6,11,1,3,8.0,0.7,29.0,17.2,13.7,10.2,0.4,100450.0,0,1,0.4,1,1,2,Serious,Fatal
2,1,17,0,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,15,2,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,12,0,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,12,3,4,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,17,4,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,20,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,15,2,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,13,4,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,3,14,0,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,19,4,3,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,13,3,12,0,0,2.0,1.3,32.0,6.1,6.1,6.1,0.0,101830.0,0,0,0.0,0,2,1,Fatal,Serious
1,2,4,6,10,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,2,17,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
3,2,0,5,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
3,1,12,4,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,2,22,0,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
4,1,11,5,8,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,7,3,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
1,1,6,1,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,12,2,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,17,5,2,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
2,1,15,5,4,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,17,1,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
1,2,4,2,9,0,3,5.0,9.3,195.0,26.6,22.6,18.6,0.0,102270.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,20,5,5,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,0,2,Slight,Fatal
1,1,3,5,5,1,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
2,1,21,3,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
3,2,7,1,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,0,Serious,Slight
2,2,22,6,7,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,5,1,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,14,3,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,17,0,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,13,1,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,0,Serious,Slight
1,1,22,5,12,1,0,5.0,2.1,38.0,10.0,4.9,-0.1,12.0,101960.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,12,2,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
2,1,23,5,10,1,3,7.0,2.0,59.0,16.2,12.1,8.0,21.0,100340.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,16,4,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,7,1,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,1,4,2,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,8,2,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
2,1,0,0,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,3,16,5,7,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,1,2,Serious,Fatal
1,1,15,3,12,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,13,2,6,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,19,4,6,0,2,4.0,15.2,380.0,31.1,25.3,19.5,3.0,100920.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,6,3,1,0,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,14,4,9,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,8,5,12,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
2,1,17,3,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,0,Fatal,Slight
2,1,10,5,9,1,3,2.0,10.7,212.0,25.2,18.9,12.6,0.0,101750.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,10,3,5,0,1,2.0,11.2,340.0,22.6,17.1,11.6,0.0,103420.0,0,0,0.0,0,1,2,Serious,Fatal
1,1,1,5,1,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,11,6,11,1,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,16,0,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,5,5,2,1,0,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
2,1,17,2,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
2,3,23,4,11,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,23,4,11,0,3,4.0,4.4,66.0,12.9,11.2,9.5,1.4,101190.0,0,0,0.0,0,2,0,Fatal,Slight
2,4,4,5,6,1,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,17,1,8,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
1,1,11,3,7,0,2,7.0,0.1,129.0,20.6,18.1,15.7,2.8,101190.0,0,0,0.0,1,2,1,Fatal,Serious
2,1,12,0,8,0,2,6.0,5.0,208.0,23.7,18.6,13.6,11.0,101560.0,0,0,0.0,0,2,1,Fatal,Serious
2,1,20,3,4,0,1,3.0,4.4,185.0,23.2,15.9,8.6,0.0,102450.0,0,0,0.0,0,2,1,Fatal,Serious
1,1,7,1,1,0,0,2.0,1.1,36.0,8.2,5.4,2.6,0.0,99490.0,0,1,0.0,0,2,1,Fatal,Serious
2,1,5,2,5,0,1,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,0,Fatal,Slight
1,1,15,4,10,0,3,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,0,0.0,0,2,1,Fatal,Serious
1,2,8,2,7,0,2,5.0,3.3,99.0,15.1,11.8,8.9,0.2,101540.0,0,1,0.0,0,2,1,Fatal,Serious
